id	bibtex_key	title	author	author_full	url	local	h-index	Cited by	journal	journal_edited	year	Complex question subtype	What related works are cited?	Approach	Tool name	Is training necessary?	Is it open source? Link?	Knowledge Base	Metric	Dataset	How the work try to solve the complex question problem?	Pipeline de para construção da resposta (Normalmente é reconhecimento de entidade, extração de relações entre entidades etc)	Other informations	Scenario	Está disponível? Se sim, pegar o link/ref 	Limitações do trabalho? Oq ficou faltando?
11	shen2020effective	Effective Search of Logical Forms for Weakly Supervised Knowledge-Based Question Answering	Shen, Tao / Geng, Xiubo / Qin, Tao / Long, Guodong / Jiang, Jing / Jiang, Daxin	Tao Shen / Xiubo Geng / Guodong Long / Jing Jiang / Chengqi Zhang / Daxin Jiang	https://www.ijcai.org/Proceedings/2020/0308.pdf	Conference	118	0	Proceedings of the Twenty-Ninth International Joint Conference on Artificial Intelligence (IJCAI-20)	IJCAI	2020	Multi-hop questions, Contraints questions	D2A,MaSP	Semantic Parsing, Neural Networks	X	S	X	Wikidata	Recall, Precision, F1	CSQA/CQA	They created a module that adds to other QA tools that already do the initial process	(1) Searching and Cleaning: 	ML/DL Foco: Perguntas com multiplos predicados/fatos e perguntas quantitativas, porém não é sobre grafos de conhecimento mas sim perguntas lógicas. Vou aceitar pq SPARQL são perguntas lógicas   "Experiments on CSQA dataset (Saha et al. 2018), one of the largest weakly supervised KBQA datasets over a largescale KB with complex questions, verify the effectiveness of this approach. " (https://amritasaha1812.github.io/CSQA/) =>  Complex Sequential QA	General		
12	cui2019kbqa	KBQA: learning question answering over QA corpora and knowledge bases	Cui, Wanyun / Xiao, Yanghua / Wang, Haixun / Song, Yangqiu / Hwang, Seung-won / Wang, Wei	Wanyun Cui / Yanghua Xiao / Haixun Wang / Yangqiu Song / Seung-won Hwang / Wei Wang	https://arxiv.org/abs/1903.02419	Journal	??	103	Proceedings of the VLDB Endowment	VLDB Endowment	2017	Multi-hop questions	Compara, mas referencias são antigas pq eles usam QALD-1-5 e já está na 9	Semantic Parsing	Funciona com duas etpas: online e offline. Na etapa online fazem o parse e a decomposição daquery em varias querys simples (eles cham de queries binarias factuais) e fazem um calculo probabilisti para achar qual template é igual a ela. Na etapa offline é o aprendizado dos templates, eles expandem os predicados da base de conhecimento para poder econtrar os "caminhos" para as perguntas complexas	N	Não falam	KBA, Freebase, Dbpedia	Recall, Precision, Precision	WebQuestions, QALD	Break complex questions into simple questions	Query -> Complex Question Parsing -> Probabilistc inference -> KB consult-> Resposta . Pegam a query, selecionam as entidades principais usando um NER e fazem o parsing da query, fazem a probabilidade estatistica para transforma ela em um dos templates que  estão no KG, geram o template e colocam as entidades e predicados identificados no local do template, transformam o grafo template em um modelo de consulta ao KG para poder responder a query (tudo isso é a etapa online)	Foco: Perguntas com multiplos predicados/fatos	General	Sim	Tempo de processamento
13	Hu20171815	Answering natural language questions by subgraph matching over knowledge graphs	Hu, S. / Zou, L. / Yu, J.X. / Wang, H. / Zhao, D.	Sen Hu / Lei Zou / Jeffrey Xu Yu / Haixun Wang / Dongyan Zhao	https://ieeexplore.ieee.org/iel7/69/4358933/08085196.pdf?casa_token=1Wxu6-73INoAAAAA:yoJfxYqXxXNVaIOCe2pa9E69jdv_5n3Zcim172PpZIM8ZEb94j7ezq9yX98UwnYAhfukM4qx3cA	Journal	136	74	IEEE Transactions on Knowledge and Data Engineering	TKDE	2017	Multi-hop questions	QALD-6,Aqqu,Sempre,ParaSempre,STAGG, RFF, DEANNA	Semantic Parsing	NFF	S	Não falam	DBpedia, Freebase	Time, F1, F1, Recall, Precision	WebQuestions, QALD	 In the offline processing, we propose a graph mining algorithm to build a relation mention dictionary, i.e., mapping natural language phrases to possible predicates, which is used for question understanding in RDF Q/A. (3) In the online processing, in order to speed up query evaluation, we propose efficient top-k (approximate) graph matching algorithms of matching QS and QU over RDF graph.	Análise de grafos e geração de candidatos para perguntas. Não focam diretamente na SPARQL, mas sim na geração de sub-grafos que no final irão representar a SPARQL final	NFF	General	Sim	Não falam
14	DBLP:conf/acl/YuYHSXZ17	Improved Neural Relation Detection for Knowledge Base Question Answering	Mo Yu / Wenpeng Yin / Kazi Saidul Hasan / Cícero Nogueira dos Santos / Bing Xiang / Bowen Zhou	Mo Yu / Wenpeng Yin / Kazi Saidul Hasan / Cicero dos Santos / Bing Xiang / Bowen Zhou	https://www.aclweb.org/anthology/P17-1053/	Conference	135	146	Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)	ACL	2017	Multi-hop questions		Semantic Parsing, Neural Networks	HR-BiLSTM	S	https://github.com/StevenWD/HR-BiLSTM	Freebase	Accuracy 	SimpleQuestions, WebQuestionsSP	(1) entity linking, which links n-grams in questions to KB entities, and (2) relation detection, which identifies the KB relation(s) a question refers to	Entity Re-Ranking (first-step relation detection): Use the raw question text as input for a relation detector to score all relations in the KB that are associated to the entities in ELK(q); use the relation scores to re-rank ELK(q) and generate a shorter list EL0 K0 (q) containing the top-K0 entity candidates 2 Relation Detection: Detect relation(s) using the reformatted question text in which the topic entity is replaced by a special token <e> 3 Query Generation: Combine the scores from step 1 and 2, and select the top pair (ˆe, rˆ) (Section 5.3) 4 Constraint Detection (optional): Compute similarity between q and any neighbor entity c of the entities along rˆ (connecting by a relation rc) , add the high scoring c and rc to the query.	HR-BiLSTM	General	https://github.com/Gorov/KBQA_RE_data	
15	Radoev201898	A Language Adaptive Method for Question Answering on French and English	Radoev, N. / Zouaq, A. / Tremblay, M. / Gagnon, M.	Nikolay Radoev / Amal Zouaq / Mathieu Tremblay / Michel Gagnon	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055657264&doi=10.1007%2f978-3-030-00072-1_9&partnerID=40&md5=001681e1ba29d64fb2632d515874af72	Conference	45	4	Semantic Web Evaluation Challenge	SemWebEval	2018	Multi-hop questions	X	Semantic Parsing	AMAL	S	X	Dbpedia	Accuracy, Precision	X	In fact, many of those complex questions can be represented as a chain of smaller, simpler queries. The question is thus separated in two sub-queries with wars being the only shared word.	(i) Question Type Classifier "Classifica o tipo da questão", (ii) an Entity Extractor "Utiliza de algumas regras e o DBpedia Spotlight para extair as entidades principais e realiza a desambuiguação", (iii) a Property Extractor "Realiza os mesmos passos do Entity Extractor porem sem as entidades principais para analisar outras possiveis propriedades importantes da pergunta e substitui algumas palavras usando Word2Vec para facilitar a pesquisa" and a SPARQL Query Generator that generates the final SPARQL query	Decomposição de query complexas para simples.  Foco :  Perguntas com multiplos predicados/fatos	General	404	One of the current limitations of the system is its difficulty to correctly split complex questions into multiple simple questions. Most of the errors in complex questions are due to the fact that the keyword used to split the sentence is not in fact a correct separator.
16	Nouar20185	Deep semantic parsing method to capture the structure of multi-relation questions over linked data	Nouar, W. / Boufaida, Z.	Wafa Nouar / Zizette Boufaïda	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067850622&partnerID=40&md5=71ca04937a5a5ea46383457ec8a95a36	Conference	46	0	Proceedings of the 8th International Seminar on Computer Science Research at Feminine (RIF 2019) 	RIF 	2018	Multi-hop questions	YAGO-QA	Semantic Parsing		N	X	Dbpedia	X	X	We presented a QAS that translates multi-relation questions into SPARQL queries using a semantic parsing method. "Combinaram RDF usando a linguagem normal com uma boa analise semantica e FOL uma linguagem logica para ligar os fatos dentro da pergunta"	Question analysis phase: This processing involves a syntactic and a semantic analysis. In this phase we find how the terms in the question relate to each other and make a hypothesis about the correspondence. Mapping phase: Based on the Linked Data consisting of subject-property-object (SPO) triples, each NL question firstly is transformed into a triple-based representation (Query Triple). Then, the corresponding resources in the KB are mapped for the phrases in the query triples. Disambiguation phase: In the disambiguation task, we determine which of the resources identified during the phrase mapping task are the right ones. Query construction phase: This component creates the final SPARQL query using information provided by above tree steps i.e. and using both question features extracted from question analysis phase and semantic information from KB.	This method offers a deep understanding of complex questions  Foco :  Perguntas com multiplos predicados/fatos	General	X	In this QAS we are limited to factual questions because others, such as why i.e. causal or how i.e. procedural questions require more additional processing
17	Zheng20181373	Question answering over knowledge graphs: Question understanding via template decomposition	Zheng, W. / Yu, J.X. / Zou, L. / Cheng, H.	Weiguo Zheng / Jeffrey Xu Yu / Lei Zou / Hong Cheng	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058894308&doi=10.14778%2f3236187.3236192&partnerID=40&md5=04adef421eeedb2bdccae3fe50adc119	Journal	116	40	Proceedings of the VLDB Endowment	VLDB Endowment	2018	Multi-hop questions	X	Semantic Parsing		N	X	Freebase, Dbpedia	Precision, Precision, Recall, Recall, F1	QALD, WebQuestions, ComplexQuestions	We model the task of answering complex questions as a template selection and assembly problem: Given an input question and a set T of simple templates, we choose several templates from T to cover the input question and assemble them into a semantic dependency graph	O sistema indentifica na pergunta se ela é uma pergunta complexa comum ou pergunta complexa AND "que contem e, ou ou mas, neste caso, com base na natureza da conjunção é adicionado entidade ou relação para desambiguação e deixar a pergunta sem componentes omitidos". Depois ele recupera um conjunto S de modelos de templates para cobrir a semântica da pergunta de forma que S ira formar um Grafo de dependencia semântica. Entre esses processa existe metodos de desamiguação e otimização. Finalmente uma consulta SPARQL pode ser construida.	em duvida Foco :  Perguntas com multiplos predicados/fatos	General	http://qald.aksw.org/index.php?x=challenge&q=5	X
18	Zhang2018101	Semantic parsing for multiple-relation Chinese question answering	Zhang, J. / Hua, Y. / Qi, G. / Qi, D.	Jingyao Zhang / Yuncheng Hua / Guilin Qi / Daiqing Qi	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056827747&partnerID=40&md5=31fa8e7a0f39001878fc0efb0a687894	Conference	46	0	Proceedings of the Evaluation Tasks at the China Conference on Knowledge Graph and Semantic Computing (CCKS 2018)	CCKS	2018	Multi-hop questions, Contraints questions	Não	Semantic Parsing	X	N	Não informado	Freebase	Precision, Recall, F1	COQA, PKU-base	We use syntax dependency tree to syntactically analyze complex questions, and then obtain the final answer by subgraph matching in the knowledge base. Through generating a syntactic dependency tree, we can break a complex question into some simple questions to answer.	(1) We also need to find the entity in the question first, and then (2)backtrack to the root node according to the position of the entity in the syntax dependent tree until the child node of a node has “的” or it is a predicate, then the backtracking is stopped. (3)Take these nodes and their children as a sub-branch. (4) Answer this sub-branch as a simple question, replace this branch with the answer, and make a second round of answer. If the remaining syntax tree is an empty set after removing the stop word and the wh-word, the problem is treated as a simple question, and only one round of processing is enough.	Foco :  Perguntas com multiplos predicados/fatos	General	https://www.kaggle.com/jeromeblanchet/conversational-question-answering-dataset-coqa	X
19	Jia20181807	TEQUILA: Temporal question answering over knowledge bases	Jia, Z. / Abujabal, A. / Roy, R.S. / Str tgen, J. / Weikum, G.	Zheng Jia / Abdalghani Abujabal / Rishiraj Saha Roy / Jannik Str Tgen / Gerhard Weikum	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058015715&doi=10.1145%2f3269206.3269247&partnerID=40&md5=c2882ac99358dee32726bc51e1f16a06	Conference	111	15	International Conference on Information and Knowledge Management, Proceedings	CIKM	2018	Contraints questions	AQQU, QUINT	Semantic Parsing	TEQUILA	N	https://qa.mpi-inf.mpg.de/tequila/tequila.zip, and a demo is available at https://gate.d5.mpi-inf.mpg.de/tequila/	Freebase	Precision, Recall, F1	TempQuestions, ComplexQuestions	TEQUILA, is built on a rule-based framework that encompasses four stages of processing: (i) detecting temporal questions, (ii) decomposing questions and rewriting sub-questions, (iii) retrieving candidate answers for sub-questions, and (iv) temporal reasoning to combine and reconcile the results of the previous stage into final answers. For stage (iii), we leverage existing KB-QA systems, that are geared for answering simple questions.	TEQUILA has four stages. It detects if a question has temporal intent. It decomposes and rewrites the question into non-temporal sub-questions and temporal constraints. Answers to sub-questions are then retrieved from the underlying KB-QA engine. Finally, TEQUILA uses constraint reasoning on temporal intervals to compute final answers to the full question.	Perguntas temporais.  Foco: Perguntas temporais	Temp	TempQuestions = Z. Jia, A. Abujabal, R. Saha Roy, J. Strötgen, and G. Weikum. 2018. TempQuestions: A Benchmark for Temporal Question Answering. In HQA.	TEQUILA fails yields insights towards future work: (i) Decomposition and rewriting were incorrect (for example, in “where did the pilgrims come from before landing in america?”, ‘landing’ is incorrectly labeled as a noun, triggering case 3 instead of case 1 in Table 1); (ii) The correct temporal predicate was not found due to limitations of the similarity function; and (iii) The temporal constraint or the time scope to use during reasoning was wrongly identified.
20	Talmor2018641	The web as a knowledge-base for answering complex questions	Talmor, A. / Berant, J.	Alon Talmor / Jonathan Berant	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081732249&partnerID=40&md5=50ab4bbd5bd0b5def7d3b889452e5354	Conference	90	119	NAACL HLT 2018 - 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies - Proceedings of the Conference	NAACL	2018	Multi-hop questions, Contraints questions	TRIVIAQA, WIKIHOP	Semantic Parsing	 SPLITQA	S	https://github.com/alontalmor/WebAsKB.	Freebase	F1, Precision	ComplexWebQuestions	We propose to decompose complex questions into a sequence of simple questions, and compute the final answer from the sequence of answers. To illustrate the viability of our approach, we create a new dataset of complex questions, COMPLEXWEBQUESTIONS, and present a model that decomposes questions and interacts with the web to compute an answer.	Our goal is to learn a model that given a question q and a black box QA model for answering simple questions, SIMPQA(·), produces a computation tree t that decomposes the question and computes the answer. The model is trained from a set of N question-computation tree pairs or question-answer pairs.	Foi nesse artigo que o Dataset ComplexWebQuestions foi criado  Foco :  Perguntas com multiplos predicados/fatos	General	COMPLEXWEBQUESTIONS, can be downloaded from http://nlp.cs.tau. ac.il/compwebq and our codebase can be downloaded from https://github.com/ alontalmor/WebAsKB.	COMPLEXWEBQUESTIONSand find that question decomposition substantially improves precision@1 from 20.8 to 27.5. We find that humans are able to reach 63.0 precision@1 under a limited time budget, leaving ample room for improvement in future work. In future work, we plan to develop a more general representation, which will require training from denotations
21	Luo20182185	Knowledge base question answering via encoding of complex query graphs	Luo, K. / Lin, F. / Luo, X. / Zhu, K.Q.	Kangqi Luo / Fengli Lin / Xusheng Luo / Kenny Qili Zhu	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081742495&partnerID=40&md5=f83dbbf98a8196218b709c7c18d047f7	Conference	112	28	Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, EMNLP 2018	EMNLP	2018	Multi-hop questions, Contraints questions	Vários kk, mas a maioria é só avaliando o WebQ	Semantic Parsing	CompQA	S	http://202.120.38.146/CompQA/	Freebase, FB2M	F1	 ComplexQuestions, WebQuestions, SimpleQuestions	Break down subgraphs and rank all possible paths		Foco: Perguntas com multiplos predicados/fatos	General	Sim	Possible future work includes supporting more complex semantics like implicit time constraints.
22	zafar2018formal	Formal query generation for question answering over knowledge bases	Zafar, Hamid / Napolitano, Giulio / Lehmann, Jens	Hamid Zafar / Giulio Napolitano / Jens Lehmann	https://link.springer.com/chapter/10.1007/978-3-319-93417-4_46	Conference	37	26	European Semantic Web Conference	ESWC	2018	Multi-hop questions	SINA,NLIWOD	Semantic Parsing	SGQ	N	Sim. e https://github.com/AskNowQA/SQG	Dbpedia	Precision, Recall, F1	LC-QuAD	Analyze the knowledge graph as focus on sparql match	Dada a Pergunta e as anotações (NER) ele geral um grafo e depois ranquei as principais respostas	SGQ	General	Sim	In future work, we plan to add support for more question types, which requires union, sorting, comparison or other aggregation functions e.g. min and max. Also, we will investigate the accuracy of SQG on other QA datasets that might shed light on unseen weaknesses.
23	zhou2018interpretable	An Interpretable Reasoning Network for Multi-Relation Question Answering	Zhou, Mantong / Huang, Minlie / Zhu, Xiaoyan	Mantong Zhou / Minlie Huang / Xiaoyan Zhu	aclweb.org/anthology/C18-1171.pdf	Conference	49	28	Proceedings of the 27th International Conference on Computational Linguistics	COLING	2018	Multi-hop questions		Semantic Parsing, Neural Networks	IRN	S	x	Freebase	Accuracy	PathQuestion, WolrdCup2014	Reasoning Network that employs an interpretable, hop-by-hop reasoning process for question answering.	The reasoning network has three modules: input module, reasoning module, and answer module. The input module encodes a question to a vector representation and updates the representation of the question at each hop of the reasoning process. The reasoning module aims to attend to a particular part of the question at each hop, predict an associated relation in knowledge base, and then update its state. The answer module chooses the corresponding entity from KB at each hop. At the last hop, the selected entity is chosen as the final answer.	IRN	General	X	
24	DBLP:conf/aaai/ZhangDKSS18	Variational Reasoning for Question Answering With Knowledge Graph	Yuyu Zhang / Hanjun Dai / Zornitsa Kozareva / Alex/er J. Smola / Le Song	Yuyu Zhang / Hanjun Dai / Zornitsa Kozareva / Alexander J. Smola / Le Song	https://arxiv.org/abs/1709.04071	Conference	126	111	AAAI2018	AAAI	2018	Multi-hop questions		Semantic Parsing, Neural Networks	VRN	S	X	WikiMovies	Accuracy	NTM, Vanilla, WikiMovieis	Question Pair Training	The model consists of two probabilistic modules for topic entity recognition and logic reasoning over knowledge graph. The reasoning graphs are efficiently embedded and scored against the question embeddings to retrieve the best answer. During training, to handle the non-differentiable sampling operation, we use variational posterior with the REINFORCE algorithm.	VRN	General	X	
